,Image,YOLO_inference_time,num_bbox,OODL_feat_extraction_time,OSVM_inference_time,OOD_object_present
1817,001817.png,1319.555,7.0,9794.545,0.721,5.0
1818,001818.png,1319.133,5.0,6645.681,0.568,0.0
1819,001819.png,1321.956,7.0,9416.114,0.656,0.0
1820,001820.png,1319.373,12.0,17250.982,3.327,0.0
1821,001821.png,1321.417,6.0,8490.557,1.59,0.0
1822,001822.png,1312.175,2.0,2964.832,0.348,2.0
1823,001823.png,1320.461,6.0,10503.345,1.73,0.0
1824,001824.png,1318.376,2.0,3230.204,0.377,0.0
1825,001825.png,1319.433,2.0,3183.245,0.387,1.0
1826,001826.png,1314.966,2.0,3035.112,0.378,0.0
1827,001827.png,1310.472,1.0,1621.926,0.566,0.0
1828,001828.png,1312.963,1.0,2072.125,0.837,0.0
1829,001829.png,1320.791,,,,0.0
1830,001830.png,1313.206,6.0,15790.473,1.284,0.0
1831,001831.png,1315.975,1.0,1762.306,0.284,1.0
1832,001832.png,1316.822,4.0,6628.531,0.499,0.0
1833,001833.png,1315.854,,,,0.0
1834,001834.png,1330.134,5.0,9474.395,0.596,0.0
1835,001835.png,1320.009,1.0,1588.254,0.293,0.0
1836,001836.png,1320.624,7.0,14572.887,1.346,0.0
1837,001837.png,1311.471,5.0,9205.264,1.654,3.0
1838,001838.png,1311.052,8.0,13422.053,1.199,6.0
1839,001839.png,1316.459,1.0,1414.425,0.386,0.0
1840,001840.png,1319.161,9.0,12963.304,1.246,0.0
1841,001841.png,1334.421,,,,0.0
1842,001842.png,1306.309,2.0,2832.85,0.34,0.0
1843,001843.png,1319.04,7.0,9427.25,0.769,0.0
1844,001844.png,1368.65,9.0,13720.07,0.804,0.0
1845,001845.png,1317.871,2.0,2684.124,0.552,0.0
1846,001846.png,1320.907,11.0,18322.081,2.883,0.0
1847,001847.png,1315.989,2.0,3349.789,0.36,2.0
1848,001848.png,1316.001,1.0,1638.579,0.336,0.0
1849,001849.png,1316.045,6.0,9088.879,0.601,0.0
1850,001850.png,1314.562,4.0,9723.866,3.112,0.0
1851,001851.png,1316.478,4.0,8836.97,0.55,3.0
1852,001852.png,1314.783,3.0,4533.544,1.11,1.0
1853,001853.png,1319.321,3.0,4687.376,0.433,3.0
1854,001854.png,1321.703,6.0,9581.316,0.911,0.0
1855,001855.png,1331.126,7.0,10610.331,1.088,0.0
1856,001856.png,1331.203,13.0,23830.971,2.402,0.0
1857,001857.png,1317.138,4.0,9140.019,1.185,0.0
1858,001858.png,1319.033,9.0,15093.246,1.435,0.0
1859,001859.png,1316.091,7.0,16468.705,1.244,4.0
1860,001860.png,1319.292,4.0,6874.811,0.535,0.0
1861,001861.png,1318.184,3.0,4097.559,0.432,2.0
1862,001862.png,1318.693,8.0,12832.668,1.269,0.0
1863,001863.png,1331.84,11.0,15952.829,2.326,0.0
1864,001864.png,1319.796,4.0,5382.358,0.485,0.0
1865,001865.png,1315.415,4.0,5551.371,0.727,0.0
1866,001866.png,1317.401,3.0,4200.62,0.456,2.0
1867,001867.png,1321.991,2.0,2778.933,0.342,0.0
1868,001868.png,1317.541,1.0,1484.226,0.337,0.0
1869,001869.png,1316.392,2.0,2896.822,0.343,0.0
1870,001870.png,1323.621,1.0,1439.875,0.291,1.0
1871,001871.png,1317.008,1.0,1393.391,0.291,1.0
1872,001872.png,1321.871,4.0,5837.186,0.463,0.0
1873,001873.png,1321.919,5.0,8250.345,0.879,0.0
1874,001874.png,1315.974,4.0,5968.683,0.503,0.0
1875,001875.png,1314.975,7.0,11229.461,1.246,0.0
1876,001876.png,1318.73,3.0,4350.796,0.471,0.0
1877,001877.png,1314.833,,,,0.0
1878,001878.png,1313.029,2.0,2769.412,0.422,0.0
1879,001879.png,1316.346,1.0,1433.826,0.277,1.0
1880,001880.png,1323.45,5.0,7046.768,0.55,0.0
1881,001881.png,1317.44,2.0,2710.78,0.371,2.0
1882,001882.png,1322.692,8.0,11430.171,0.89,4.0
1883,001883.png,1318.622,5.0,6641.796,0.527,2.0
1884,001884.png,1304.004,,,,2.0
1885,001885.png,1303.91,1.0,1507.01,0.411,1.0
1886,001886.png,1322.19,10.0,15277.157,1.456,5.0
1887,001887.png,1319.526,5.0,6944.004,0.541,0.0
1888,001888.png,1325.059,3.0,4056.48,0.419,0.0
1889,001889.png,1315.956,2.0,2728.481,0.336,0.0
